Filename,X_c,Y_c
60.000000.png,6.300815997758633,243.8817153463613
120.000000.png,392.65985634570876,245.20193792967748
180.000000.png,381.3707802763172,244.66334531239343
240.000000.png,346.56247065236374,247.30522190120723
300.000000.png,349.94197314018174,247.2615360243033
360.000000.png,353.84475322667583,246.95883964750652
420.000000.png,353.3796504517229,246.8958840926521
480.000000.png,353.07161630641394,246.8550729503435
540.000000.png,353.1861906223447,246.75391129590304
600.000000.png,353.2761196054461,246.67584702347395
660.000000.png,353.3401185724893,246.58474847578663
720.000000.png,353.41971125621365,246.50999541406821
780.000000.png,353.5510874227266,246.40074185039794
840.000000.png,353.6313651506952,246.3556519773392
900.000000.png,353.69223810566064,246.31471315216314
960.000000.png,353.7366941101893,246.28879089403347
1020.000000.png,353.7929959556256,246.26655173154882
1080.000000.png,353.8677615165868,246.25866764156683
1140.000000.png,353.91674234466285,246.2625670372659
1200.000000.png,353.96017568620255,246.2610271623233
1260.000000.png,353.99677075255494,246.2770921677452
1320.000000.png,354.026771181407,246.30344145553252
1380.000000.png,354.0503707747686,246.33277410933297
1440.000000.png,354.0690753163106,246.36826791389126
1500.000000.png,354.09027328984945,246.417412781605
1560.000000.png,354.11134101804555,246.4510475146675
1620.000000.png,354.1017024171213,246.49686807819864
1680.000000.png,354.0970570966345,246.5457501150381
1740.000000.png,354.0788752067119,246.60964151632362
1800.000000.png,354.0378669604663,246.68066051293656
1860.000000.png,353.9870016285128,246.73066345308905
1920.000000.png,353.93366040704217,246.82106164782118
1980.000000.png,353.84892009546536,246.8844761399939
2040.000000.png,353.7667762557444,246.96503212451032
2100.000000.png,353.66653670706046,247.0605784057207
2160.000000.png,353.5522449876069,247.14997281725726
2220.000000.png,353.43699036167686,247.24041374145438
2280.000000.png,353.3020799739775,247.34673313694856
2340.000000.png,353.167039761806,247.46728502561905
2400.000000.png,353.03081200354063,247.59796357712347
2460.000000.png,352.8693339147797,247.73852608620462
2520.000000.png,352.7041041781809,247.86621052886468
2580.000000.png,352.530024063015,248.01493380021242
2640.000000.png,352.36261248281016,248.15414664376053
2700.000000.png,352.1897709062865,248.3199000437828
2760.000000.png,352.0088523156463,248.48677698171943
2820.000000.png,351.85732726030767,248.64521727106546
2880.000000.png,351.6711732506981,248.80992198945847
2940.000000.png,351.49230379198735,248.98047158248755
3000.000000.png,351.2950722525143,249.13850799608113
3060.000000.png,351.11336598170607,249.317775470788
3120.000000.png,350.8938098207035,249.49099240615303
3180.000000.png,350.6867687890182,249.67730963241718
3240.000000.png,350.46414997161,249.85118777490646
3300.000000.png,350.2463026094416,250.0355116405805
3360.000000.png,350.0044019543328,250.234856165533
3420.000000.png,349.7539997992767,250.41589912636888
3480.000000.png,349.4997457548156,250.6153214649665
3540.000000.png,349.2326480315947,250.8059293650618
3600.000000.png,348.94371285335353,250.99935170850677
3660.000000.png,348.6572491730633,251.1880754682481
3720.000000.png,348.3580626419317,251.377493505857
3780.000000.png,348.0414050989718,251.5846829054429
3840.000000.png,347.7047306047189,251.78319492170095
3900.000000.png,347.36345737082377,251.96141075882664
3960.000000.png,347.01240257851754,252.14166264218
4020.000000.png,346.65958346355666,252.32884515005233
4080.000000.png,346.2657518668687,252.53769914403898
4140.000000.png,345.8675705034999,252.71183953776656
4200.000000.png,345.44599512535746,252.88789398526143
4260.000000.png,345.03166046772304,253.0544226207662
4320.000000.png,344.59606448263713,253.22043135627064
4380.000000.png,344.1431730457447,253.382032479219
4440.000000.png,343.67344980998894,253.5384373551118
4500.000000.png,343.22727738680743,253.70429786688936
4560.000000.png,342.77381431349664,253.85136391129853
4620.000000.png,342.3306529334964,253.9932428895514
4680.000000.png,341.8964974390319,254.11243418264044
4740.000000.png,341.4708556736637,254.26413417631386
4800.000000.png,341.06037183046425,254.39505619253126
4860.000000.png,340.6633547867609,254.52067431757015
4920.000000.png,340.2828368429785,254.64069198512644
4980.000000.png,339.89920826627923,254.77661828010218
5040.000000.png,339.5457298592757,254.88412179145678
5100.000000.png,339.19810001155787,255.00164328165627
5160.000000.png,338.87577321739894,255.11194582806561
5220.000000.png,338.55114223451415,255.21243582762307
5280.000000.png,338.2603600899962,255.31080129588875
5340.000000.png,337.96604433450267,255.41894896591924
5400.000000.png,337.6867267445794,255.5295805509933
5460.000000.png,337.42617226056484,255.59643468140936
5520.000000.png,337.1642520330633,255.7181409873461
5580.000000.png,336.9242923915357,255.77139276298422
5640.000000.png,336.7007087618506,255.8563257690328
5700.000000.png,336.4764179490951,255.9570204529715
5760.000000.png,336.28012801875633,256.04042703693136
5820.000000.png,336.07264031100596,256.0808201211431
5880.000000.png,335.88295683437224,256.17066714201
5940.000000.png,335.7133225901798,256.21292852476273
6000.000000.png,335.53327431602645,256.3049203083074
